"Source";"Station";"Nom";"Densp1";"Eff1";"Eff2";"DensCS";"EPA";"Efficacite";"surf_reel";"surf_theo";"largeur..m.";"longueur..m.";"profondeur..cm.";"vitesse.m.s.ou.0......";"substrat.dom";"substrat.accessoire";"facies.plat";"facies.profond";"facies.radier";"végétation.aquatique..abs.pres.";"abris.poissons.1..abs.pres.";"abris.poissons.2..abs.pres.";"abris.poissons.3..abs.pres.";"abris.poissons.4..abs.pres.";"abris.poissons.5..abs.pres.";"DensCSold";"NCS";"LCI";"UCI";"p";"zip";"pzip";"LCIzip";"UCIzip";"Nzip";"DensZip"
"IAV";"2009_0435XXX2";"ARONb-82";0.210067059869112;26;8;0.290862082895694;1.33;0.81;123.77;63.61725124;3.26;38;13;"0.05";"";"";53;20;27;"";"";"";"";"";"";47;36;31.8757739967536;40.1242260032464;0.739130434782609;36;0.739130434782609;30.5790399259205;41.4209600740795;36;0.290862082895694
"IAV";"2009_0435XXX6";"CANSb-65";0.161012075905693;14;12;0.471535365152386;0;0.34;86.95;70.68583471;3.11;28;8;"0.46";"";"";42;0;58;"";"";"";"";"";"";41;41;15.4005589097789;66.5994410902211;0.382352941176471;56;0.265306122448980;-47.8577810858871;159.857781085887;56;0.644048303622772
"IAV";"2009_0435XXX8";"CANS-67";0.246877722916062;17;8;0.421144350856811;1.86;0.75;68.86;49.48008429;2.55;27;10;"0.15";"";"";78;0;22;"";"";"";"";"";"";40;29;21.1961594601929;36.8038405398071;0.609756097560976;29;0.609756097560976;18.8001335028800;39.19986649712;29;0.421144350856811
"IAV";"2009_0435XXX9";"CHEVa-165";0.0494437577255871;6;0;0.0494437577255871;0.29;1;121.35;49.48008429;3.79;32;21;"";"";"";23;52;25;"";"";"";"";"";"";8;6;NA;NA;1;6;1;6;6;6;0.0494437577255871
"IAV";"2009_0435XXX11";"CHEV-163";0.088386070355312;10;1;0.0972246773908432;0.25;0.92;113.14;56.54866776;4.19;27;20;"0.18";"";"";36;0;64;"";"";"";"";"";"";13;11;11;11;0.916666666666667;11;0.916666666666667;10.3575681232435;11.6424318767565;11;0.0972246773908432
"IAV";"2009_0435XXX13";"CANN-110";0.0323127877857662;4;4;0.0807819694644155;0.38;0.58;123.79;56.54866776;4.95;25;13;"0.13";"";"";100;0;0;"";"";"";"";"";"";12;10;4.93939475247336;15.0606052475266;0.5;16;0.241379310344828;-50.5072194612511;82.507219461251;NA;NA
"IAV";"2009_0435XXX14";"CANN-115";0.0758078271581541;8;1;0.0852838055529233;0.29;0.91;105.53;49.48008429;3.3;32;11;"0.13";"";"";100;0;0;"";"";"";"";"";"";11;9;9;9;0.9;9;0.9;8.27772609563008;9.72227390436992;9;0.0852838055529233
"IAV";"2009_0435XXX16";"CHEa-135";0.0457927876359473;4;10;0.389238694905552;0.86;0.3;87.35;49.48008429;2.43;36;11;"0.25";"";"";77;0;23;"";"";"";"";"";"";33;34;-1.26898001733051;69.2689800173305;0.21875;16;0.241379310344828;-50.5072194612511;82.507219461251;NA;NA
"IAV";"2009_0435XXX18";"CHEZ-134";0.0336700336700337;4;0;0.0336700336700337;0;1;118.8;49.48008429;3.83;31;15;"0";"";"";100;0;0;"";"";"";"";"";"";4;4;NA;NA;1;4;1;4;4;4;0.0336700336700337
"Bretagne";"evron 1";"evron 1";0.0451321727917473;14;9;0.0967117988394584;0.56;0.47;310.2;176.7145868;6;51.7;21;"+";"cailloux";"graviers";NA;NA;NA;"abs";"blocs";"";"";"";"";30;30;16.9530677429265;43.0469322570735;0.5;32;0.46;8.18555564454008;55.8144443554599;32;0.103159252095422
"Bretagne";"evron 2";"evron 2";0.0248988484282602;8;7;0.065359477124183;0.32;0.38;321.3;176.7145868;6.3;51;28;"+";"sable";"cailloux";NA;NA;NA;"pres";"végétation";"blocs";"";"";"";21;21;8.88398448315916;33.1160155168408;0.441176470588235;27;0.326086956521739;-20.6870152854969;74.6870152854969;27;0.0840336134453781
"Bretagne";"evron 3";"evron 3";0.0111111111111111;2;1;0.0166666666666667;0.08;0.67;180;176.7145868;5;38;24;"+";"cailloux";"vase";NA;NA;NA;"pres";"blocs";"racine";"végétation";"";"";3;3;3;3;0.75;3;0.75;1.53912909903903;4.46087090096097;3;0.0166666666666667
