"date";"station";"taille";"poids";"diametrehorizontal";"diametrevertical";"diametreremarque";"pectorale";"contraste";"ligne";"stade";"marque";;"operateur";"patho";"remarque"
15/09/2009;"0435XXX8";314;41;4;4;"moyenne";12,3;;;"J";"00_06E4_ADC6";;"Brice";;
14/09/2009;"0435XXX9";323;44;;;;;;;"J";"00_06DF_13D3";;"Brice";;
14/09/2009;"0435XXX9";770;677;6,95;6,95;"moyenne";38,2;;;"J";"00_06DF_2096";;"Brice";;
14/09/2009;"0435XXX9";663;415;;;;;;;"J";"00_06DF_3139";;"Brice";"CA (C)";
14/09/2009;"0435XXX9";734;794;7,75;7,75;"moyenne";35;;;"J";"00_06E4_7EEE";;"Brice";;
14/09/2009;"0435XXX9";525;204;5,95;5,95;"moyenne";26;;;"J";"00_06E4_80A2";;"Brice";;
14/09/2009;"0435XXX9";704;579;;;;;;;"J";"00_06E4_9B21";;"Brice";;"pas de mesures de l'œil et de la pectorale"
14/09/2009;"0435XX11";443;129;4,7;4,7;"moyenne";19,8;;;"J";"00_06DF_1445";;"Brice";;
14/09/2009;"0435XX11";503;203;5,55;5,55;"moyenne";24,9;;;"J";"00_06DF_18B3";;"Brice";;
14/09/2009;"0435XX11";310;46;;;;;;;"J";"00_06DF_2AB9";;"Brice";;
14/09/2009;"0435XX11";334;62;4;4;"moyenne";15,3;;;"J";"00_06DF_356D";;"Brice";;
14/09/2009;"0435XX11";335;55;3,7;3,7;"moyenne";13,9;;;"J";"00_06DF_3EE1";;"Brice";;
14/09/2009;"0435XX11";411;84;4,3;4,3;"moyenne";16,6;;;"J";"00_06E4_798F";;"Brice";;
14/09/2009;"0435XX11";706;569;7,35;7,35;"moyenne";34,8;;;"J";"00_06E4_7E8A";;"Brice";;
14/09/2009;"0435XX11";439;139;5,25;5,25;"moyenne";23,2;;;"J";"00_06E4_8A22";;"Brice";;
14/09/2009;"0435XX11";371;82;4,3;4,3;"moyenne";16,9;;;"J";"00_06E4_A5CB";;"Brice";;
14/09/2009;"0435XX11";658;518;7,25;7,25;"moyenne";32,1;;;"J";"00_06EA_C7C0";;"Brice";;
16/09/2009;"0435XX14";477;220;5,75;5,75;"moyenne";24;;;"J";"00_06DF_2557";;"Brice";;
16/09/2009;"0435XX14";556;357;;;;;;;"J";"00_06E4_97DC";;"Brice";;
16/09/2009;"0435XX14";387;96;4,05;4,05;"moyenne";15,7;;;"J";"00_06E4_A748";;"Brice";;
16/09/2009;"0435XX14";418;139;4,2;4,2;"moyenne";20,4;;;"J";"00_06E4_B26B";;"Brice";;
16/09/2009;"0435XX16";310;54;4,3;4,3;"moyenne";16,4;;;"J";"00_06DF_3D9D";;"Brice";;
16/09/2009;"0435XX16";321;38;3,9;3,9;"moyenne";15,4;;;"J";"00_06E4_7AB5";;"Brice";;
16/09/2009;"0435XX16";411;120;4,65;4,65;"moyenne";22,3;;;"J";"00_06E4_7EF0";;"Brice";;
16/09/2009;"0435XX16";315;46;3,25;3,25;"moyenne";13,9;;;"J";"00_06E4_9420";;"Brice";;
16/09/2009;"0435XX18";590;376;6,25;6,25;"moyenne";28,2;;;"J";"00_06DF_3CB7";;"Brice";;
21/09/2009;"0456XXX1";367;78;4,5;3,9;;17,3;;;"J";"00_06DE_9D77";;"Brice";;
21/09/2009;"0456XXX1";344;42;3,9;3,2;;14,2;;;"J";"00_06DF_1D6F";;"Brice";;
21/09/2009;"0456XXX1";491;188;4,7;5;;23;;;"J";"00_06DF_3771";;"Brice";;
21/09/2009;"0456XXX1";352;79;4,7;4,2;;17,1;;;"J";"00_06E4_7EF2";;"Brice";;
21/09/2009;"0456XXX1";364;86;4,8;4,6;;16,9;;;"J";"00_06E4_8039";;"Brice";;
21/09/2009;"0456XXX1";491;186;5,8;5,6;;21,8;;;"J";"00_06E4_A006";;"Brice";"HE (A";" T"
21/09/2009;"0456XXX1";583;394;6,3;6,6;;27,6;;;"J";"00_06E4_A43E";;"Brice";"HE (A";" T)"
21/09/2009;"0456XXX1";304;38;3,6;3,2;;11,7;;;"J";"00_06E4_B2BE";;"Brice";;
21/09/2009;"0456XXX1";338;68;3,8;3,9;;15,8;;;"J";"00_06EA_C738";;"Brice";;
21/09/2009;"0456XXX3";300;34;3,3;3,3;"moyenne";11;;;"J";"00_06DF_12F9";;"Brice";;"sous-cutané"
21/09/2009;"0456XXX3";307;46;3,7;3,7;"moyenne";13,3;;;"J";"00_06DF_2559";;"Brice";;
21/09/2009;"0456XXX3";392;98;5,2;4,6;;18;;;"J";"00_06DF_3C3C";;"Brice";;"sous-cutané"
21/09/2009;"0456XXX3";342;85;5,65;5,65;"moyenne";18,9;;;"AG";"00_06E4_8110";;"Brice";;"sous-cutané"
21/09/2009;"0456XXX3";518;189;5,55;5,55;"moyenne";20,9;;;"J";"00_06E4_832D";;"Brice";"HE (A)";
22/09/2009;"0456XXX5";314;57;3,5;3,9;;14,4;;;"J";"00_06DF_143D";;"Brice";;
22/09/2009;"0456XXX5";301;39;2,9;2,9;"moyenne";11,5;;;"J";"00_06E4_8AA5";;"Brice";;
22/09/2009;"0456XXX8";342;57;4,55;4,55;"moyenne";17,2;;;"J";"00_06DF_1441";;"Brice";;
22/09/2009;"0456XXX8";308;42;3,2;3,4;;12,7;;;"J";"00_06DF_1938";;"Brice";;
22/09/2009;"0456XXX8";335;71;4,55;4,55;"moyenne";18,4;;;"J";"00_06DF_193B";;"Brice";;
22/09/2009;"0456XXX8";305;43;3,35;3,35;"moyenne";12,5;;;"J";"00_06DF_2F9B";;"Brice";;
22/09/2009;"0456XXX8";422;130;5,55;5,55;"moyenne";19,8;;;"J";"00_06DF_30B7";;"Brice";;
22/09/2009;"0456XXX8";527;311;7,25;7,25;"moyenne";29;;;"J";"00_06DF_3675";;"Brice";;"début d'argenture"
22/09/2009;"0456XXX8";351;82;4,55;4,55;"moyenne";17;;;"J";"00_06E4_7C33";;"Brice";;
22/09/2009;"0456XXX8";452;161;5,1;5,1;"moyenne";22,3;;;"J";"00_06E4_7CF7";;"Brice";;
22/09/2009;"0456XXX8";337;57;3,9;3,9;"moyenne";14,3;;;"J";"00_06E4_832B";;"Brice";;
22/09/2009;"0456XXX8";385;94;4,85;4,85;"moyenne";18,6;;;"J";"00_06E4_9A0C";;"Brice";;
22/09/2009;"0456XXX8";332;64;4,3;4,3;"moyenne";16,1;;;"J";"00_06E4_AB98";;"Brice";;
22/09/2009;"0456XXX8";348;68;4,85;4,85;"moyenne";15,4;;;"J";"00_06EA_AB1D";;"Brice";;
22/09/2009;"0456XXX8";446;153;6,25;6,25;"moyenne";21,2;;;"J";"00_06EA_AD22";;"Brice";;
24/09/2009;"0456XXX9";332;65;4,55;4,55;"moyenne";16,1;;;"J";"00_06DF_1CE4";;"Brice";;
24/09/2009;"0456XXX9";328;58;4,55;4,55;"moyenne";16,1;;;"J";"00_06DF_3249";;"Brice";;"sous-cutané (sur le flanc)"
24/09/2009;"0456XXX9";336;52;4,6;4,6;"moyenne";14,9;;;"J";"00_06DF_3672";;"Brice";;
24/09/2009;"0456XXX9";336;65;6,2;6,2;"moyenne";18,3;1;1;"AG";"00_06EA_9FF7";;"Brice";;
23/09/2009;"0456XX13";325;57;3,8;3,8;"moyenne";13,8;;;"J";"00_06DE_C5C4";;"Brice";;
23/09/2009;"0456XX13";307;40;3,6;3,6;"moyenne";12,8;;;"J";"00_06DF_1AC8";;"Brice";;
23/09/2009;"0456XX13";325;47;3,65;3,65;"moyenne";12,4;;;"J";"00_06DF_2CEC";;"Brice";;
23/09/2009;"0456XX13";314;49;3,85;3,85;"moyenne";15,4;;;"J";"00_06DF_324C";;"Brice";;
23/09/2009;"0456XX13";295;48;5,55;5,55;"moyenne";16,6;;;"AG";"00_06E4_8F66";;"Brice";;
23/09/2009;"0456XX13";398;92;5,1;5,1;"moyenne";18,8;;;"J";"00_06E4_B03F";;"Brice";"HE (A)";
23/09/2009;"0456XX13";325;59;5,45;5,45;"moyenne";16,9;;;"AG";"00_06EA_B68C";;"Brice";;
23/09/2009;"0456XX13";302;35;3,45;3,45;"moyenne";13,1;;;"J";"00_06EA_B938";;"Brice";;
23/09/2009;"0456XX16";317;49;3,3;3,3;"moyenne";13,1;;;"J";"00_06DF_0F30";;"Brice";;
23/09/2009;"0456XX16";340;83;6,45;6,45;"moyenne";20,9;1;1;"AG";"00_06DF_1224";;"Brice";;
23/09/2009;"0456XX16";367;97;6,25;6,25;"moyenne";17,8;1;1;"AG";"00_06E4_7E1C";;"Brice";;
23/09/2009;"0456XX16";341;77;4,6;4,6;"moyenne";16,7;;;"J";"00_06E4_7E87";;"Brice";;
23/09/2009;"0456XX16";349;72;4,4;4,4;"moyenne";17,9;;;"J";"00_06E4_8EE3";;"Brice";;
23/09/2009;"0456XX16";391;106;6,8;6,8;"moyenne";21,3;1;1;"AG";"00_06E4_9A0E";;"Brice";;
23/09/2009;"0456XX16";313;44;3,35;3,35;"moyenne";13,1;;;"J";"00_06E4_AE36";;"Brice";;
21/09/2011;"0435XXX1";375;77;4,5;4,1;;16,6;;;"J";"00_06DF_1F89";;"Aurore";;
21/09/2011;"0435XXX1";400;108;4,5;4;;18,3;;;"J";"00_06DF_290C";;"Aurore";;
21/09/2011;"0435XXX1";326;53;3,7;3,5;;11,6;;;"J";"00_06DF_31C7";;"Aurore";;
21/09/2011;"0435XXX1";395;99;4,6;4,1;;16,1;;;"J";"00_06DF_3463";;"Aurore";;
21/09/2011;"0435XXX1";305;43;3,7;3,5;;12,6;;;"J";"00_06E4_7B85";;"Aurore";;
21/09/2011;"0435XXX1";401;101;4;3,8;;18,8;;;"J";"00_06E4_7C91";;"Aurore";;"hors secteur"
21/09/2011;"0435XXX1";472;178;5,7;5;;20,2;;;"J";"00_06E4_7D57";;"Aurore";;"hors secteur"
21/09/2011;"0435XXX1";446;137;5,1;5;;22,6;;;"J";"00_06E4_997C";;"Aurore";;"recapture 2011"
21/09/2011;"0435XXX1";359;80;4;3,9;;14;;;"J";"00_06E4_9D55";;"Aurore";;
21/09/2011;"0435XXX1";358;77;5;4,7;;15,7;;;"J";"00_06E4_AC0B";;"Aurore";;
21/09/2011;"0435XXX1";438;105;5,2;4,8;;19,3;;;"J";"00_06E7_7453";;"Aurore";;
21/09/2011;"0435XXX1";404;117;5,5;4,4;;18,4;;;"J";"00_06E7_74E0";;"Aurore";;
21/09/2011;"0435XXX1";425;130;4,9;4,7;;18,9;;;"J";"00_06E75_C0D";;"Aurore";;
21/09/2011;"0435XXX2";373;76;4,7;4,2;;17,8;;;"J";"00_06DF_2120";;"Aurore";;"recapture 2011"
21/09/2011;"0435XXX2";340;50;3,5;3,3;;13,4;;;"J";"00_06DF_22AF";;"Aurore";;"recapture 2011"
21/09/2011;"0435XXX2";354;67;4;3,6;;14,6;;;"J";"00_06DF_3572";;"Aurore";;"recapture 2011"
21/09/2011;"0435XXX2";398;93;4,3;4,1;;16,8;;;"J";"00_06DF_3F4A";;"Aurore";;
21/09/2011;"0435XXX6";327;54;3,7;3,4;;14;;;"J";"00_06DF_24CB";;"Aurore";;
21/09/2011;"0435XXX6";319;48;3,1;3;;12,9;;;"J";"00_06E4_880C";;"Aurore";;
21/09/2011;"0435XXX6";342;58;3,7;3,6;;15;;;"J";"00_06E7_67F5";;"Aurore";;
21/09/2011;"0435XXX6";370;64;4,6;4,2;;14,5;;;"J";"00_06EA_D30C";;"Aurore";;
22/09/2011;"0435XXX8";418;112;4,7;4,7;;18,1;;;"J";"00_06DF_1E85";;"Brice";;
22/09/2011;"0435XXX8";309;45;4;3,9;;12,8;;;"J";"00_06DF_2802";;"Brice";;
22/09/2011;"0435XXX8";320;58;4,1;4,1;;13,8;;;"J";"00_06DF_34EF";;"Brice";;"recapture 2011"
22/09/2011;"0435XXX8";341;57;3,9;3,9;;14,2;;;"J";"00_06DF_3775";;"Brice";;
22/09/2011;"0435XXX8";407;103;5,5;5,1;;19,3;;;"J";"00_06E4_7D53";;"Brice";;"recapture 2011"
22/09/2011;"0435XXX8";365;86;5,6;5,3;;18,2;;;"J";"00_06E4_AC07";;"Brice";;
22/09/2011;"0435XXX8";367;66;5;4,6;;16,9;;;"J";"00_06E7_64D0";;"Brice";;
22/09/2011;"0435XXX8";302;28;3,9;3,4;;12,4;;;"J";"00_06E7_6561";;"Brice";;
22/09/2011;"0435XXX8";375;100;5,9;6,1;;19,6;1;1;"AG";"00_06E7_6A0C";;"Brice";;
22/09/2011;"0435XXX8";349;80;4,5;4,2;;15,4;;;"J";"00_06E7_767F";;"Brice";;
20/09/2011;"0435XXX9";706;451;8,6;8,2;;32,2;;;"J";"00_06DF_2A28";;"Brice";;
20/09/2011;"0435XXX9";736;605;9;7,5;;34,9;;;"J";"00_06E7_66E8";;"Brice";;
20/09/2011;"0435XXX9";355;62;4,4;4;;13,8;;;"J";"00_06E7_6D3E";;"Brice";;
20/09/2011;"0435XXX9";576;313;7,3;6,5;;29,5;;;"J";"00_06E7_7333";;"Brice";;"saignement lors du marquage"
20/09/2011;"0435XX11";664;596;8,7;7,5;;29,7;;;"J";"00_06E4_848A";;"Brice";;"hors secteur"
20/09/2011;"0435XX11";492;271;5,9;4,9;;22,4;;;"J";"00_06E4_9BB1";;"Brice";;
20/09/2011;"0435XX11";308;51;3,9;3,4;;12,8;;;"J";"00_06E7_7331";;"Brice";;
20/09/2011;"0435XX11";458;138;5,1;4,8;;22,2;;;"J";"00_06E7_75F4";;"Brice";;
22/09/2011;"0435XX13";508;220;6,1;5,8;;23,6;;;"J";"00_06DF_3EE0";;"Brice";;
22/09/2011;"0435XX13";355;63;3,7;3,6;;15,3;;;"J";"00_06E4_917D";;"Brice";;
22/09/2011;"0435XX13";372;74;4,7;3,7;;15,3;;;"J";"00_06E7_7923";;"Brice";;
23/09/2011;"0435XX14";512;277;5,6;5,8;;26,1;;;"J";"00_06DF_2557";;"Aurore";;"recapture 2011"
23/09/2011;"0435XX14";536;268;6,1;6,1;;24,5;;;"J";"00_06DF_3674";;"Aurore";;
23/09/2011;"0435XX14";430;118;3,9;3,9;;19;;;"J";"00_06E4_A748";;"Aurore";;"recapture 2011"
22/09/2011;"0435XX16";478;184;5,9;5,4;;21,2;;;"J";"00_06DF_16AF";;"Brice";;
22/09/2011;"0435XX16";330;51;4,6;4;;11,6;;;"J";"00_06DF_2F16";;"Brice";;
22/09/2011;"0435XX16";323;56;3,8;3,9;;14,2;;;"J";"00_06E3_DC2D";;"Brice";;
22/09/2011;"0435XX16";450;142;5,1;4,7;;19,9;;;"J";"00_06E3_DED2";;"Brice";;
22/09/2011;"0435XX16";474;187;6,5;5,7;;23,9;;;"J";"00_06E4_7EF0";;"Brice";;"recapture 2011"
22/09/2011;"0435XX16";311;47;4,7;4,3;;14,9;;;"J";"00_06E4_8033";;"Brice";;
22/09/2011;"0435XX16";377;87;4,8;4,3;;17,8;;;"J";"00_06E4_9420";;"Brice";;"recapture 2011"
22/09/2011;"0435XX16";312;48;4,9;4,4;;14,8;;;"J";"00_06E4_A5C7";;"Brice";;
22/09/2011;"0435XX16";352;41;4,2;3,8;;14,4;;;"J";"00_06E7_6C2A";;"Brice";;
22/09/2011;"0435XX16";345;62;4,1;4,1;;14,1;;;"J";"00_06E7_7926";;"Brice";;
22/09/2011;"0435XX16";335;60;4,5;3,8;;15,1;;;"J";"00_06E7_7927";;"Brice";;
22/09/2011;"0435XX16";344;64;4,5;3,8;;14,4;;;"J";"00_06E7_7C4A";;"Brice";;
22/09/2011;"0435XX16";323;59;4,3;3,8;;12,8;;;"J";"00_06EA_A2B3";;"Brice";;
23/09/2011;"0435XX18";595;379;6,4;6;;28,9;;;"J";"00_06DF_3CB7";;"Aurore";;"recapture 2011"
23/09/2011;"0435XX18";310;44;3,6;3,4;;12,1;;;"J";"00_06E7_5BD2";;"Aurore";;
13/09/2011;"0456XXX1";343;58;4,7;4,7;;15,3;;;"J";"00_06E4_B03E";;"Brice";;
13/09/2011;"0456XXX3";325;56;3,2;3;;14;;;"J";"00_06DF_1AC5";;"Aurore";;
13/09/2011;"0456XXX3";338;60;5,1;5;;13,5;;;"J";"00_06DF_33E3";;"Aurore";;
13/09/2011;"0456XXX3";319;47;3,7;3,3;;12;;;"J";"00_06E3_E17A";;"Aurore";;
13/09/2011;"0456XXX3";348;54;4;3,9;;13,7;;;"J";"00_06E3_E548";;"Aurore";;
13/09/2011;"0456XXX3";570;261;6,7;6,1;;22,9;;;"J";"00_06E4_832D";;"Aurore";;"recapture 2011"
13/09/2011;"0456XXX3";475;173;6,5;5,7;;21,9;;;"J";"00_06E7_633F";;"Aurore";;"taille estimée car queue coupée"
13/09/2011;"0456XXX3";350;68;4,1;4,1;;13,4;;;"J";"00_06E7_6FEA";;"Aurore";;
13/09/2011;"0456XXX3";314;44;3,3;3,2;;18,6;;;"J";"00_06E7_7070";;"Aurore";;
13/09/2011;"0456XXX3";318;41;4,5;3,6;;12,3;;;"J";"00_06E7_781B";;"Aurore";;
14/09/2011;"0456XXX8";352;70;3,7;3,9;;15;;;"J";"00_06DF_3C3D";;"Aurore";;
14/09/2011;"0456XXX8";352;76;5;5,5;;;;;"J";"00_06E4_7C33";;"Aurore";;"recapture 2011"
14/09/2011;"0456XXX8";375;81;4,3;4,1;;15,1;;;"J";"00_06E4_832B";;"Aurore";;"recapture 2011"
14/09/2011;"0456XXX8";424;119;4,8;4,8;;18,2;;;"J";"00_06E4_8484";;"Aurore";;
16/09/2011;"0456XXX9";315;65;5;4,3;;14,3;;;"J";"00_06E7_7455";;"Aurore";;"début d'argenture"
15/09/2011;"0456XX12";322;50;4,7;3,9;;16,2;;;"J";"00_06E7_6230";;"Brice";;
15/09/2011;"0456XX13";325;57;4,9;4,6;;14,1;;;"J";"00_06DF_1AC8";;"Brice";;"recapture 2011"
15/09/2011;"0456XX13";326;49;3,9;3,8;;14,3;;;"J";"00_06E3_E0F0";;"Brice";;
15/09/2011;"0456XX13";442;123;5,8;5,1;;18,7;;;"J";"00_06E4_8FEC";;"Brice";;
15/09/2011;"0456XX13";312;42;3,5;3,5;;10;;;"J";"00_06E7_6906";;"Brice";;
15/09/2011;"0456XX13";304;37;4,4;4,4;;13,8;;;"J";"00_06E7_75B6";;"Brice";;
15/09/2011;"0456XX16";340;64;4;3,7;;14;;;"J";"00_06DF_0F30";;"Brice";;"recapture 2011"
15/09/2011;"0456XX16";365;77;4,5;4,2;;15,1;;;"J";"00_06E4_AE36";;"Brice";;"recapture 2011"
15/09/2011;"0456XX16";330;63;4;4,2;;13,5;;;"J";"00_06E7_72AE";;"Brice";;
10/09/2013;"0435XXX1";519;242;6,1;5,9;;25,7;;;"J";"00_06E4_997C";;"Brice";"x cdb";"recapture 2013"
10/09/2013;"0435XXX1";434;132;5,5;4,8;;22,1;;;"J";"00_06E7_74E0";;"Brice";"x cdb";"recapture 2013"
10/09/2013;"0435XXX1";488;270;6,2;5,9;;26,3;;;"J";"00_06EA_BF96";;"Brice";;"recapture 2013"
10/09/2013;"0435XXX2";510;236;6,2;6;;25,2;;;"J";"00_06DE_BBB7";;"Brice";"HE caud basse";"recapture 2013"
10/09/2013;"0435XXX2";439;140;4,9;4,9;;20,9;;;"J";"00_06E7_7225";;"Brice";;
10/09/2013;"0435XXX2";377;72;4,7;4,3;;17,1;;;"J";"00_06E7_7B39";;"Brice";;
10/09/2013;"0435XXX2";312;42;3,9;3,4;;13,1;;;"J";"00_06E7_83FD";;"Brice";;
12/09/2013;"0435XXX6";418;113;5,4;4,8;;17,9;;;"J";"00_06E7_6D41";;"Brice";;
12/09/2013;"0435XXX6";605;370;7,1;6,6;;27,3;;;"J";"00_06E7_706F";;"Brice";;
10/09/2013;"0435XXX8";399;98;5,9;5,1;;18,9;;;"J";"00_06DE_E193";;"Brice";;"pectorale gauche manquante"
10/09/2013;"0435XXX8";313;43;3,8;3,4;;13,8;;;"J";"00_06DF_21A1";;"Brice";;
10/09/2013;"0435XXX8";367;93;5,4;5,1;;17,6;;;"J";"00_06DF_2802";;"Brice";;"recapture 2013"
10/09/2013;"0435XXX8";418;103;5,8;5,1;;17,9;;;"J";"00_06E4_ADC6";;"Brice";;"recapture 2013"
10/09/2013;"0435XXX8";391;90;4,7;3,9;;16,6;;;"J";"00_06E7_588E";;"Brice";;
10/09/2013;"0435XXX8";339;59;4,2;3,7;;14,7;;;"J";"00_06E7_6C32";;"Brice";;
10/09/2013;"0435XXX8";380;73;5,1;4,6;;16,2;;;"J";"00_06E7_6F5A";;"Brice";;
10/09/2013;"0435XXX8";343;65;4,1;3,9;;15,7;;;"J";"00_06E7_74D7";;"Brice";;
09/09/2013;"0435XXX9";744;631;9,1;8,6;;37,2;;;"J";"00_06E7_6878";;"Brice";;
09/09/2013;"0435XXX9";444;134;5,6;5,6;;21,7;;;"J";"00_06E7_7709";;"Brice";"x cdb";
09/09/2013;"0435XXX9";753;842;9,3;8,8;;35,2;0;1;"JAG";"00_06E7_789E";;"Brice";;
09/09/2013;"0435XXX9";735;678;8,3;8,4;;36,2;;;"J";"00_06E7_7F47";;"Brice";"x cdb";
09/09/2013;"0435XX11";316;50;3,7;3,9;;14,8;;;"J";"00_06DF_2A26";;"Brice";;
09/09/2013;"0435XX11";439;128;4,8;4,7;;20,2;;;"J";"00_06DF_3248";;"Brice";;
09/09/2013;"0435XX11";355;60;4;3,5;;15,1;;;"J";"00_06E4_7F5E";;"Brice";;
09/09/2013;"0435XX11";595;341;6,6;6,1;;27,7;;;"J";"00_06E4_8CC1";;"Brice";"x cdb";
09/09/2013;"0435XX11";326;61;3,9;3,6;;14;;;"J";"00_06E7_62B4";;"Brice";;
09/09/2013;"0435XX11";324;54;4;3,5;;13,5;;;"J";"00_06E7_744B";;"Brice";;
12/09/2013;"0435XX13";394;92;5,1;4,9;;15,7;;;"J";"00_06E3_EAB6";;"Brice";;
12/09/2013;"0435XX13";405;87;4,8;4,5;;17,4;;;"J";"00_06E7_6882";;"Brice";"cdb";" Ac"
12/09/2013;"0435XX13";478;170;5,9;5,1;;23,3;;;"J";"00_06E7_7E4E";"00_06E7_6096";"Brice";"érosion";"double marquage car 1er sous-cutané"
12/09/2013;"0435XX13";365;67;4,3;4,2;;15,5;;;"J";"00_06E7_813C";;"Brice";;
12/09/2013;"0435XX14";570;417;6,6;7,4;;30,1;;;"J";"00_06DF_2557";;"Laurent B";;"recapture 2013"
12/09/2013;"0435XX14";363;63;4,8;4,5;;16,6;;;"J";"00_06DF_2C5B";;"Laurent B";"ichtyo";" érosions"
12/09/2013;"0435XX14";409;117;6;4,9;;21,2;;;"J";"00_06E4_A93D";;"Laurent B";;
12/09/2013;"0435XX14";392;87;4,7;4,5;;16,4;;;"J";"00_06E7_6DCE";;"Brice";"HE tête";" abdo"
12/09/2013;"0435XX14";501;"?";6,1;5,8;;22,6;;;"J";"00_06E7_78A0";;"Laurent B";;
11/09/2013;"0435XX16";324;53;3,8;3,4;;13,4;;;"J";"00_06DF_0D9A";;"Brice";;
11/09/2013;"0435XX16";336;60;4,2;3,9;;13,8;;;"J";"00_06DF_1734";;"Brice";;
11/09/2013;"0435XX16";313;43;4;3,9;;13,8;;;"J";"00_06DF_2888";;"Brice";;
11/09/2013;"0435XX16";336;43;4,6;4,1;;12,7;;;"J";"00_06DF_2F16";;"Brice";;"recapture 2013"
11/09/2013;"0435XX16";424;113;4,6;4,6;;18,5;;;"J";"00_06DF_3670";;"Brice";;
11/09/2013;"0435XX16";377;84;4,9;4,5;;17,1;;;"J";"00_06E3_D7FC";;"Brice";;
11/09/2013;"0435XX16";393;84;4,6;4,1;;17,7;;;"J";"00_06E3_E203";;"Brice";;
11/09/2013;"0435XX16";422;117;5,4;4,9;;19,8;;;"J";"00_06E4_9420";;"Brice";;"recapture 2013"
11/09/2013;"0435XX16";482;155;5,2;4,9;;21,7;;;"J";"00_06E7_5C08";;"Brice";;
11/09/2013;"0435XX16";430;116;5,7;5,1;;20,1;;;"J";"00_06E7_611D";;"Brice";;
11/09/2013;"0435XX16";313;39;4;3,6;;13;;;"J";"00_06E7_6120";;"Brice";;
11/09/2013;"0435XX16";342;55;4,4;4,4;;15;;;"J";"00_06E7_619F";;"Brice";;
11/09/2013;"0435XX16";329;60;4;4;;12,7;;;"J";"00_06E7_6BAB";;"Brice";;
11/09/2013;"0435XX16";307;41;4,3;4,2;;13;;;"J";"00_06E7_6CB9";;"Brice";;
11/09/2013;"0435XX16";327;43;4,2;3,9;;15,7;;;"J";"00_06E7_6FE7";;"Brice";;
