date;station;taille;poids;diametrehorizontal;diametrevertical;diametreremarque;pectorale;contraste;ligne;stade;marque;;operateur;patho;remarque;remarque bis;;;
23/09/2009;0456XX13;295;48;5.55;5.55;moyenne;16.6;;;AG;00_06E4_8F66;;Brice;;pose 2009;;;;
23/09/2009;0456XX13;398;92;5.1;5.1;moyenne;18.8;;;J;00_06E4_B03F;;Brice;HE (A);pose 2009;;;;
23/09/2009;0456XX13;325;59;5.45;5.45;moyenne;16.9;;;AG;00_06EA_B68C;;Brice;;pose 2009;;;;
23/09/2009;0456XX13;302;35;3.45;3.45;moyenne;13.1;;;J;00_06EA_B938;;Brice;;pose 2009;;;;
23/09/2009;0456XX16;317;49;3.3;3.3;moyenne;13.1;;;J;00_06DF_0F30;;Brice;;pose 2009;;;;
23/09/2009;0456XX16;340;83;6.45;6.45;moyenne;20.9;1;1;AG;00_06DF_1224;;Brice;;pose 2009;;;;
23/09/2009;0456XX16;367;97;6.25;6.25;moyenne;17.8;1;1;AG;00_06E4_7E1C;;Brice;;pose 2009;;;;
23/09/2009;0456XX16;341;77;4.6;4.6;moyenne;16.7;;;J;00_06E4_7E87;;Brice;;pose 2009;;;;
23/09/2009;0456XX16;349;72;4.4;4.4;moyenne;17.9;;;J;00_06E4_8EE3;;Brice;;pose 2009;;;;
23/09/2009;0456XX16;391;106;6.8;6.8;moyenne;21.3;1;1;AG;00_06E4_9A0E;;Brice;;pose 2009;;;;
23/09/2009;0456XX16;313;44;3.35;3.35;moyenne;13.1;;;J;00_06E4_AE36;;Brice;;pose 2009;;;;
21/09/2011;0435XXX1;375;77;4.5;4.1;;16.6;;;J;00_06DF_1F89;;Aurore;;pose 2011;;;;
21/09/2011;0435XXX1;400;108;4.5;4;;18.3;;;J;00_06DF_290C;;Aurore;;pose 2011;;;;
21/09/2011;0435XXX1;326;53;3.7;3.5;;11.6;;;J;00_06DF_31C7;;Aurore;;pose 2011;;;;
21/09/2011;0435XXX1;395;99;4.6;4.1;;16.1;;;J;00_06DF_3463;;Aurore;;pose 2011;;;;
21/09/2011;0435XXX1;305;43;3.7;3.5;;12.6;;;J;00_06E4_7B85;;Aurore;;pose 2011;;;;
21/09/2011;0435XXX1;401;101;4;3.8;;18.8;;;J;00_06E4_7C91;;Aurore;;pose 2011;hors secteur;;;
21/09/2011;0435XXX1;472;178;5.7;5;;20.2;;;J;00_06E4_7D57;;Aurore;;pose 2011;hors secteur;;;
21/09/2011;0435XXX1;446;137;5.1;5;;22.6;;;J;00_06E4_997C;;Aurore;;recapture 2011;;;;
21/09/2011;0435XXX1;359;80;4;3.9;;14;;;J;00_06E4_9D55;;Aurore;;pose 2011;;;;
21/09/2011;0435XXX1;358;77;5;4.7;;15.7;;;J;00_06E4_AC0B;;Aurore;;pose 2011;;;;
21/09/2011;0435XXX1;438;105;5.2;4.8;;19.3;;;J;00_06E7_7453;;Aurore;;pose 2011;;;;
21/09/2011;0435XXX1;404;117;5.5;4.4;;18.4;;;J;00_06E7_74E0;;Aurore;;pose 2011;;;;
21/09/2011;0435XXX1;425;130;4.9;4.7;;18.9;;;J;00_06E7_5C0D;;Aurore;;pose 2011;;;;
21/09/2011;0435XXX2;373;76;4.7;4.2;;17.8;;;J;00_06DF_2120;;Aurore;;recapture 2011;;;;
21/09/2011;0435XXX2;340;50;3.5;3.3;;13.4;;;J;00_06DF_22AF;;Aurore;;recapture 2011;;;;
21/09/2011;0435XXX2;354;67;4;3.6;;14.6;;;J;00_06DF_3572;;Aurore;;recapture 2011;;;;
21/09/2011;0435XXX2;398;93;4.3;4.1;;16.8;;;J;00_06DF_3F4A;;Aurore;;pose 2011;;;;
21/09/2011;0435XXX6;327;54;3.7;3.4;;14;;;J;00_06DF_24CB;;Aurore;;pose 2011;;;;
21/09/2011;0435XXX6;319;48;3.1;3;;12.9;;;J;00_06E4_880C;;Aurore;;pose 2011;;;;
21/09/2011;0435XXX6;342;58;3.7;3.6;;15;;;J;00_06E7_67F5;;Aurore;;pose 2011;;;;
21/09/2011;0435XXX6;370;64;4.6;4.2;;14.5;;;J;00_06EA_D30C;;Aurore;;pose 2011;;;;
22/09/2011;0435XXX8;418;112;4.7;4.7;;18.1;;;J;00_06DF_1E85;;Brice;;pose 2011;;;;
22/09/2011;0435XXX8;309;45;4;3.9;;12.8;;;J;00_06DF_2802;;Brice;;pose 2011;;;;
22/09/2011;0435XXX8;320;58;4.1;4.1;;13.8;;;J;00_06DF_34EF;;Brice;;recapture 2011;;;;
22/09/2011;0435XXX8;341;57;3.9;3.9;;14.2;;;J;00_06DF_3775;;Brice;;pose 2011;;;;
22/09/2011;0435XXX8;407;103;5.5;5.1;;19.3;;;J;00_06E4_7D53;;Brice;;recapture 2011;;;;
22/09/2011;0435XXX8;365;86;5.6;5.3;;18.2;;;J;00_06E4_AC07;;Brice;;pose 2011;;;;
22/09/2011;0435XXX8;367;66;5;4.6;;16.9;;;J;00_06E7_64D0;;Brice;;pose 2011;;;;
22/09/2011;0435XXX8;302;28;3.9;3.4;;12.4;;;J;00_06E7_6561;;Brice;;pose 2011;;;;
22/09/2011;0435XXX8;375;100;5.9;6.1;;19.6;1;1;AG;00_06E7_6A0C;;Brice;;pose 2011;;;;
22/09/2011;0435XXX8;349;80;4.5;4.2;;15.4;;;J;00_06E7_767F;;Brice;;pose 2011;;;;
20/09/2011;0435XXX9;706;451;8.6;8.2;;32.2;;;J;00_06DF_2A28;;Brice;;pose 2011;;;;
20/09/2011;0435XXX9;736;605;9;7.5;;34.9;;;J;00_06E7_66E8;;Brice;;pose 2011;;;;
20/09/2011;0435XXX9;355;62;4.4;4;;13.8;;;J;00_06E7_6D3E;;Brice;;pose 2011;;;;
20/09/2011;0435XXX9;576;313;7.3;6.5;;29.5;;;J;00_06E7_7333;;Brice;;pose 2011;;;;
20/09/2011;0435XX11;664;596;8.7;7.5;;29.7;;;J;00_06E4_848A;;Brice;;pose 2011;hors secteur;;;
20/09/2011;0435XX11;492;271;5.9;4.9;;22.4;;;J;00_06E4_9BB1;;Brice;;pose 2011;;;;
20/09/2011;0435XX11;308;51;3.9;3.4;;12.8;;;J;00_06E7_7331;;Brice;;pose 2011;;;;
20/09/2011;0435XX11;458;138;5.1;4.8;;22.2;;;J;00_06E7_75F4;;Brice;;pose 2011;;;;
22/09/2011;0435XX13;508;220;6.1;5.8;;23.6;;;J;00_06DF_3EE0;;Brice;;pose 2011;;;;
22/09/2011;0435XX13;355;63;3.7;3.6;;15.3;;;J;00_06E4_917D;;Brice;;pose 2011;;;;
22/09/2011;0435XX13;372;74;4.7;3.7;;15.3;;;J;00_06E7_7923;;Brice;;pose 2011;;;;
23/09/2011;0435XX14;512;277;5.6;5.8;;26.1;;;J;00_06DF_2557;;Aurore;;recapture 2011;;;;
23/09/2011;0435XX14;536;268;6.1;6.1;;24.5;;;J;00_06DF_3674;;Aurore;;pose 2011;;;;
23/09/2011;0435XX14;430;118;3.9;3.9;;19;;;J;00_06E4_A748;;Aurore;;recapture 2011;;;;
22/09/2011;0435XX16;478;184;5.9;5.4;;21.2;;;J;00_06DF_16AF;;Brice;;pose 2011;;;;
22/09/2011;0435XX16;330;51;4.6;4;;11.6;;;J;00_06DF_2F16;;Brice;;pose 2011;;;;
22/09/2011;0435XX16;323;56;3.8;3.9;;14.2;;;J;00_06E3_DC2D;;Brice;;pose 2011;;;;
